Token Name,Symbol,Address,Change %
"Chinese Doge Wow
(CHIDO)",CHIDO,0xf31e6d62bfc485857af2186eb3d8ee94b4379fed,3.54%
"AstroPepeX
(APX)",APX,0xcacf1ca03983ce6c7e235fb20c70acc70ed13509,3.64%
"SKOP Token
(SKOP)",SKOP,0x6d3B8C76c5396642960243Febf736C6BE8b60562,2.81%
"Slap
(SLAP)",SLAP,0x8890de1637912fbbba36b8b19365cdc99122bd6e,13.40%
"MEME.ssi
(MEME.ssi)",MEME.ssi,0xdd3acdbdc7b358df453a6cb6bca56c92aa5743aa,0.65%
"WoofWork.io
(WOOF)",WOOF,0xB3a9bd4861454bA94931ebFF410c3D828525dCe2,7.71%
"weirdo
(weirdo)",weirdo,0x76734b57dfe834f102fb61e1ebf844adf8dd931e,6.10%
"Azuro
(AZUR)",AZUR,0x2b4D0Fc2294Aa9686ADF6c5a7Ba25f66Dccdf6C0,1.21%
"Pett AI
(AIP)",AIP,0x02d4f76656c2b4f58430e91f8ac74896c9281cb9,5.23%
"DEUS
(DEUS)",DEUS,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,5.45%
"Based Froc
(FROC)",FROC,0x3c8cd0db9a01efa063a7760267b822a129bc7dca,1.14%
"PACA AI
(PACA)",PACA,0x3639e6f4c224ebd1bf6373c3d97917d33e0492bb,4.69%
"Rwax Token
(RWAX)",RWAX,0xe0023E73aab4fE9a22f059a9d27E857E027eE3dc,2.23%
"AI Agent Layer
(AIFUN)",AIFUN,0xbdf317f9c153246c429f23f4093087164b145390,0.13%
"Nabla
(NABLA)",NABLA,0x01ed85d73645523b0d62c7a8e35d03601cfd679b,7.95%
"Rob Banks
(Banks)",Banks,0x14b2f229097df3c92b43ea871860e3fae08d7f06,6.42%
"INT OS
(INTOS)",INTOS,0x42e07fa3d31190731368ca2f88d12d80139dca42,4.18%
"Wombat Token
(WOM)",WOM,0xd9541b08b375d58ae104ec247d7443d2d7235d64,1.72%
"Beni
(BENI)",BENI,0xde7a416ac821c77478340eebaa21b68297025ef3,3.47%
"JOOCE Memecoin Index
(JMX)",JMX,0x83190636c344cf1220ffcbfc0c1198f7867b3667,3.22%
"Alliewai by Virtuals
(AWAI)",AWAI,0x5081de08282c67e5f5d01073a85e8f992a41d780,12.81%
"Satori
(SATORI)",SATORI,0xc1c37473079884cbfcf4905a97de361fed414b2b,2.20%
"IDRISS
(IDRISS)",IDRISS,0x000096630066820566162c94874a776532705231,5.94%
"Chia Warped DBX
(wDBX)",wDBX,0x2dabffed5584dab0ca3f9a56ba849f97a08cad9a,6.94%
"Athena by Virtuals
(ATHENA)",ATHENA,0x1a43287cbfcc5f35082e6e2aa98e5b474fe7bd4e,1.95%
"Based Monsta
(MONSTA)",MONSTA,0xf5c83ea805e5aeff5de24c7da23ef246c2bf8ec7,0.59%
"BetSwirl v2
(BETS)",BETS,0x94025780a1ab58868d9b2dbbb775f44b32e8e6e5,6.95%
"yoVaultBTC
(yoBTC)",yoBTC,0xbcbc8cb4d1e8ed048a6276a5e94a3e952660bcbc,1.29%
"CYI by Virtuals
(CYI)",CYI,0x49c86046903807d0a3193a221c1a3e1b1b6c9ba3,7.19%
"Poncho
(PONCHO)",PONCHO,0xC2fE011C3885277c7F0e7ffd45Ff90cADc8ECD12,4.66%
"Perion Credits
(PERC)",PERC,0xf598797d9c160aef2a14712c20b7731cbe5861da,6.54%
"PIGGY
(PIGGY)",PIGGY,0xe3cf8dbcbdc9b220ddead0bd6342e245daff934d,8.97%
"Based Bonk
(Bonk)",Bonk,0x2dc1c8be620b95cba25d78774f716f05b159c8b9,12.69%
"Eli5a
(ELI5A)",ELI5A,0xd413485AA9Ca4f88419904255a2384F667dddCAB,72.13%
"Godcoin
(GOD)",GOD,0xb5130f4767ab0acc579f25a76e8f9e977cb3f948,3.65%
"Nounspace
(SPACE)",SPACE,0x48c6740bcf807d6c47c864faeea15ed4da3910ab,3.52%
"COQINU
(COQ)",COQ,0x420FcA0121DC28039145009570975747295f2329,6.55%
"AthenaX9
(AiX9)",AiX9,0x8e306e02ec1effc4fdad3f952fbeeebf3730ae19,1.68%
"TurboUSD Unstablecoin
(₸USD)",₸USD,0x3d5e487b21e0569048c4d1a60e98c36e1b09db07,11.53%
"Baseswap Token
(BSWAP)",BSWAP,0x78a087d713be963bf307b18f2ff8122ef9a63ae9,4.99%
"Wild Goat Coin
(WGC)",WGC,0x3d63825b0d8669307366e6c8202f656b9e91d368,1.26%
"Quadency Token
(QUAD)",QUAD,0x9a54ed8d4343E8d89477285A5a0ca06Be4051ddA,1.39%
"EdgeMatrix Computing network
(EMC)",EMC,0x20dcf8106bdc2ccccf84dd62dc486a7123a41d13,0.22%
"BASED APU
(APU)",APU,0x6f35720b272bf23832852b13ae9888c706e1a379,2.38%
"PREME Token
(PREME)",PREME,0x8c62ac3b71db8c81a764b84ffbc2a8d0bad7f111,0.37%
"AGIXBT by Virtuals
(AGIXBT)",AGIXBT,0x81496F85AbaF8bd2e13D90379fdE86C533D8670D,38.17%
"Virtu by Virtuals
(VIRTU)",VIRTU,0x41e0fe1317bd6e8944b037cd59b22d428c1434c2,1.38%
"LUMPY
(LUMPY)",LUMPY,0xaf6b42a3fe548c0ce73269235817fd47d8c149cd,2.68%
"Florence Finance Medici
(FFM)",FFM,0xb4e1b230dd0476238fc64c99ff9d6ccdfdb2258d,6.12%
"Inferium
(IFR)",IFR,0x01812ca908b5731be0db86000c15c5afa3e834b2,4.34%
"Dollar
(DOLLAR)",DOLLAR,0x72e72193ea14ac3b469f881989d18a2ba021b4c6,9.68%
"BOOK OF RUGS
(BOOK OF RUGS)",RUGS,0xbbe6693a1825270886fa53167359caa32ff87c5e,2.74%
"DogLibre
(DOGL)",DOGL,0xb757977bc882a14db86b048f2abb2f2a14d33184,0.34%
"Primex Finance
(PMX)",PMX,0x0B3EAEAd748facDb9d943d3407011f16Eb17D0Cf,1.23%
